Category,Sub_Category,Id,Description
0,A,0A501,"Firearms (except 0A502 shotguns) and related commodities as follows (see List of Items controlled)."
0,A,0A501_a,"Non-automatic and semi-automatic firearms equal to .50 caliber (12.7 mm) or less."
0,A,"0A501_a_Technical Note","Technical Note to 0A501.a
Firearms described in 0A501.a includes those chambered for the .50 BMG cartridge."
0,A,0A501_d,"Detachable magazines with a capacity of 17 to 50 rounds “specially designed” for a commodity controlled by paragraph .a or .b of this entry."
0,A,"0A501_f_ through w",[Reserved]
0,A,"0A501_y_2 to y_5",[Reserved]
0,A,0A501_y_6,"Bayonets; and"
0,A,0A501_y_7,"Firearms manufactured from 1890 to 1898 and reproductions thereof."
0,A,0A502_Items,"The list of items controlled is contained in the ECCN heading."
0,A,"0A502_Note 1","Note 1 to 0A502
Shotguns made in or before 1898 are considered antique shotguns and designated as EAR99."
0,A,0A503_Items,"The list of items controlled is contained in the ECCN heading."
0,A,0A504,"Optical sighting devices for firearms (including shotguns controlled by 0A502); and “components” as follows (see List of Items Controlled)."
0,A,0A504_a,"Telescopic sights."
0,A,0A504_b,"Holographic sights."
0,A,0A504_c,"Reflex or “red dot” sights."
0,A,0A504_d,"Reticle sights."
0,A,0A504_e,"Other sighting devices that contain optical elements."
0,A,0A504_g,"Lenses, other optical elements and adjustment mechanisms for articles in paragraphs .a, .b, .c, .d, .e, or .i."
0,A,0A504_h,[Reserved]
0,A,0A504_i,"Riflescopes that were not “subject to the EAR” as of March 8, 2020 and are “specially designed” for use in firearms that are “subject to the ITAR.”"
0,A,0A505,"Ammunition as follows (see List of Items Controlled)."
0,A,0A505_c,"Shotgun shells (including less than lethal rounds) that do not contain buckshot; and “specially designed” “parts” and “components” of shotgun shells."
0,A,0A505_d,"Blank ammunition for firearms controlled by ECCNs 0A501 or 0A502 and not enumerated in USML Category III."
0,A,"0A505_d_Technical Note","Technical Note to 0A505.d
Includes 'marking rounds' that have paint/dye as the projectile."
0,A,"0A505_e_ through w",[Reserved]
0,A,"0A505_Note 4","Note 4 to 0A505
Shotgun shells that contain two or more balls/shot larger than .24-inch are controlled under 0A505.b."
0,A,0A602,"Guns and Armament as follows (see List of Items Controlled)."
0,A,0A602_a,"Guns and armament manufactured between 1890 and 1919."
0,A,0A602_b,"Military flame throwers with an effective range less than 20 meters."
0,A,"0A602_c_ through w",[Reserved]
0,A,0A604,"Commodities related to military explosive devices and charges (see List of Items Controlled)."
0,A,0A604_a,"Demolition blocks, and detonators designed, modified, or adapted therefor."
0,A,"0A604_a andb_Note","Note to 0A604.a and .b
This entry does not control the detonators and other items described in ECCN 1A007 or ECCN 3A232."
0,A,0A604_b,"Military explosive excavating devices."
0,A,0A604_c,"Smoke hand grenades and stun hand grenades (e.g., “flashbangs”) not controlled by ECCN 1A984."
0,A,"0A604_d_ through w",[Reserved]
0,A,0A604_x_Note,"Note to 0A604.x
“Parts,” “components,” “accessories,” and “attachments” specified in USML Category IV(h) are subject to the controls of that paragraph"
0,A,0A606,"Ground vehicles and related commodities, as follows (see List of Items Controlled)."
0,A,0A606_a,"Ground vehicles, whether manned or unmanned, “specially designed” for a military use and not enumerated or otherwise described in USML Category VII."
0,A,0A606_b,"Other ground vehicles, “parts” and “components,” as follows:"
0,A,0A606_b_1,"Unarmed vehicles that are derived from civilian vehicles and that have all of the following:"
0,A,0A606_b_1_c,"Gross vehicle weight rating (GVWR) greater than 4,500 kg; and"
0,A,0A606_b_1_d,"Designed or modified for off-road use."
0,A,0A606_b_2,"“Parts” and “components” having all of the following:"
0,A,0A606_b_2_a,"“Specially designed” for vehicles specified in paragraph .b.1 of this entry; and"
0,A,"0A606_b_Note 2","Note 2 to paragraph b
ECCN 0A606.b.1 does not control civilian vehicles “specially designed” for transporting money or valuables."
0,A,"0A606_b_Note 3","Note 3 to paragraph b
“Unarmed” means not having installed weapons, installed mountings for weapons, or special reinforcements for mounts for weapons."
0,A,0A606_c,"Air-cooled diesel engines and engine blocks for armored vehicles that weigh more than 40 tons."
0,A,0A606_d,"Fully automatic continuously variable transmissions for tracked combat vehicles."
0,A,0A606_e,"Deep water fording kits “specially designed” for ground vehicles controlled by ECCN 0A606.a or USML Category VII."
0,A,"0A606_g_ through w",[Reserved]
0,A,0A606_y_1,"Brake discs, rotors, drums, calipers, cylinders, pads, shoes, lines, hoses, vacuum boosters, and parts therefor;"
0,A,0A606_y_10,"Hydraulic system hoses, fittings, couplings, adapters, and valves;"
0,A,0A606_y_11,"Latches and hinges;"
0,A,0A606_y_12,"Lighting systems, fuses, and “components;”"
0,A,0A606_y_13,"Pneumatic hoses, fittings, adapters, couplings, and valves;"
0,A,0A606_y_14,"Seats, seat assemblies, seat supports, and harnesses;"
0,A,0A606_y_15,"Tires, except run flat; and"
0,A,0A606_y_16,"Windows, except those for armored vehicles."
0,A,0A606_y_2,"Alternators and generators;"
0,A,0A606_y_3,Axles;
0,A,0A606_y_4,Batteries;
0,A,0A606_y_5,"Bearings (e.g., ball, roller, wheel);"
0,A,0A606_y_6,"Cables, cable assembles, and connectors;"
0,A,0A606_y_7,"Cooling system hoses;"
0,A,0A606_y_8,"Hydraulic, fuel, oil, and air filters, not controlled by ECCN 1A004;"
0,A,0A606_y_9,"Gaskets and o-rings;"
0,A,0A614,"Military training “equipment,” as follows (see List of Items Controlled)."
0,A,0A614_a,"“Equipment” “specially designed” for military training that is not enumerated or otherwise described in USML Category IX."
0,A,"0A614_b_ through w",[Reserved]
0,A,"0A614_Note 2","Note 2 to 0A614
This entry does not apply to “equipment” “specially designed” for training in the use of hunting or sporting weapons."
0,A,0A617,"Miscellaneous “Equipment,” Materials, and Related Commodities (See List of Items Controlled)."
0,A,0A617_a,[Reserved]
0,A,0A617_c,"Ferries, bridges not described in ECCN 0A606 or USML Category VII, and pontoons, “specially designed” for military use."
0,A,0A617_d,"Test models “specially designed” for the “development” of defense articles controlled by USML Categories IV, VI, VII and VIII."
0,A,0A617_e,[Reserved]
0,A,0A617_f,"“Metal embrittlement agents.”"
0,A,"0A617_g_ through x",[Reserved]
0,A,0A617_y,"Other commodities as follows, and “parts,” “components,” “accessories,” and “attachments” “specially designed” therefore:"
0,A,0A617_y_4,"Field generators “specially designed” for military use."
0,A,0A617_y_5,"Power controlled searchlights and control units therefor, “specially designed” for military use, and “equipment” mounting such units."
0,A,0A919,"“Military commodities” located and produced outside the United States as follows (see list of items controlled)"
0,A,0A919_a_2,"Incorporate more than a de minimis amount of U.S.-origin “600 series” controlled content (see § 734.4 of the EAR); or"
0,A,0A919_a_3,"Are direct products of U.S.-origin “600 series” technology or software (see § 734.9(d) of the EAR)."
0,A,0A919_b,[Reserved]
0,A,0A977,"Water cannon systems for riot or crowd control, and “parts” and “components” “specially designed” therefor."
0,A,0A977_Items,"The list of items controlled is contained in the ECCN heading."
0,A,0A978,"Law enforcement striking weapons, including saps, police batons, side handle batons, tonfas, sjamboks, and whips."
0,A,0A978_Items,"The list of items controlled is contained in the ECCN heading."
0,A,0A979,"Police helmets and shields; and “specially designed” “components,” n.e.s."
0,A,0A979_Items,"The list of items controlled is contained in the ECCN heading."
0,A,0A980,"Horses by sea."
0,A,0A980_Items,"The list of items controlled is contained in the ECCN heading"
0,A,0A981,"Equipment designed for the execution of human beings as follows (see List of Items Controlled)."
0,A,0A981_a,"Gallows and guillotines."
0,A,0A981_b,"Electric chairs for the purpose of executing human beings."
0,A,0A981_c,"Air tight vaults designed for the execution of human beings by the administration of a lethal gas or substance."
0,A,0A981_d,"Automatic drug injection systems designed for the execution of human beings by administration of a lethal substance."
0,A,0A982_Items,"The list of items controlled is contained in the ECCN heading."
0,A,0A983_Items,"The list of items controlled is contained in the ECCN heading"
0,A,0A983_Note,"Note to ECCN 0A983
In this ECCN, “torture” has the meaning set forth in Section 2340(1) of Title 18, United States Code."
0,A,0A998,"Oil and gas exploration equipment, software, and data, as follows (see List of Items Controlled)."
0,A,0A998_a,"Oil and gas exploration data, e.g., seismic analysis data."
0,A,0A998_b,"Hydraulic fracturing items, as follows:"
0,A,0A998_b_1,"Hydraulic fracturing design and analysis software and data."
